RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-06-30,2022-08-31,2023-05-31
395170,298,"Tupelo, MS",Msa,MS,2022-05-31,0.6,2.1,4.3
394368,299,"Battle Creek, MI",Msa,MI,2022-05-31,0.8,2.8,8.8
394719,300,"Jamestown, NY",Msa,NY,2022-05-31,2.6,6.1,12.1
394577,301,"Eureka, CA",Msa,CA,2022-05-31,1.0,3.6,8.3
395013,302,"Rapid City, SD",Msa,SD,2022-05-31,0.9,2.9,7.9
394595,303,"Flagstaff, AZ",Msa,AZ,2022-05-31,2.1,5.2,13.3
394810,304,"Lumberton, NC",Msa,NC,2022-05-31,0.7,2.6,7.3
395215,305,"Wausau, WI",Msa,WI,2022-05-31,0.8,3.0,8.0
394756,306,"La Crosse, WI",Msa,WI,2022-05-31,0.8,2.7,7.1
394783,307,"Lebanon, PA",Msa,PA,2022-05-31,1.3,3.9,8.6
394703,308,"Idaho Falls, ID",Msa,ID,2022-05-31,1.3,4.3,14.5
395098,309,"Sierra Vista, AZ",Msa,AZ,2022-05-31,1.3,2.6,7.3
394983,310,"Pittsfield, MA",Msa,MA,2022-05-31,1.3,3.4,8.5
394780,311,"Lawton, OK",Msa,OK,2022-05-31,0.9,2.6,4.8
394588,312,"Farmington, NM",Msa,NM,2022-05-31,1.7,4.9,11.1
394712,313,"Jackson, TN",Msa,TN,2022-05-31,1.6,4.5,11.6
394879,314,"Morgantown, WV",Msa,WV,2022-05-31,0.8,2.3,4.2
394633,315,"Glens Falls, NY",Msa,NY,2022-05-31,0.7,2.9,6.7
395232,316,"Winchester, VA",Msa,VA,2022-05-31,1.0,3.4,7.8
395120,317,"St. Joseph, MO",Msa,MO,2022-05-31,1.3,3.7,7.0
394321,318,"Altoona, PA",Msa,PA,2022-05-31,0.7,2.7,5.8
394905,319,"New Bern, NC",Msa,NC,2022-05-31,2.1,5.0,9.4
394442,320,"Carbondale, IL",Msa,IL,2022-05-31,0.6,2.3,4.0
394802,321,"London, KY",Msa,KY,2022-05-31,0.9,2.6,5.3
394800,322,"Logan, ID",Msa,UT,2022-05-31,1.6,4.9,15.0
394668,323,"Harrisonburg, VA",Msa,VA,2022-05-31,0.5,2.3,5.6
394374,324,"Beckley, WV",Msa,WV,2022-05-31,0.3,1.2,1.8
394824,325,"Mansfield, OH",Msa,OH,2022-05-31,1.7,4.3,10.5
395217,326,"Weirton, OH",Msa,OH,2022-05-31,0.6,2.1,4.6
394635,327,"Goldsboro, NC",Msa,NC,2022-05-31,2.0,5.6,10.5
394353,328,"Augusta, ME",Msa,ME,2022-05-31,1.3,5.1,12.8
394661,329,"Hammond, LA",Msa,LA,2022-05-31,1.4,3.6,5.3
394728,330,"Jonesboro, AR",Msa,AR,2022-05-31,1.5,3.9,7.8
395094,331,"Sherman, TX",Msa,TX,2022-05-31,2.1,5.6,15.1
394333,332,"Anniston, AL",Msa,AL,2022-05-31,0.9,3.1,8.1
395128,333,"Staunton, VA",Msa,VA,2022-05-31,0.6,2.3,4.8
394893,334,"Muncie, IN",Msa,IN,2022-05-31,1.0,4.3,12.1
394890,335,"Mount Vernon, WA",Msa,WA,2022-05-31,1.7,4.9,12.2
394307,336,"Albany, OR",Msa,OR,2022-05-31,1.2,3.7,11.4
395213,337,"Watertown, NY",Msa,NY,2022-05-31,1.4,2.9,4.7
395225,338,"Williamsport, PA",Msa,PA,2022-05-31,0.9,2.6,5.9
394474,339,"Cleveland, TN",Msa,TN,2022-05-31,1.8,4.8,12.1
395089,340,"Sheboygan, WI",Msa,WI,2022-05-31,1.6,3.6,8.6
394390,341,"Bismarck, ND",Msa,ND,2022-05-31,0.7,2.3,3.3
394949,342,"Owensboro, KY",Msa,KY,2022-05-31,0.7,2.9,8.8
